Front,Back,Category
What is the first step in CPR?,Check for responsiveness and call for help,CPR
How many chest compressions per minute in CPR?,100-120 compressions per minute,CPR
What is the recovery position?,Lying on their side with head tilted back,Basic First Aid
How do you treat a minor burn?,Cool with cold water for 10-20 minutes,Burns
What should you do for severe bleeding?,Apply direct pressure with a clean cloth,Bleeding
How do you help someone who is choking?,Perform the Heimlich maneuver,Choking
What is the normal pulse rate for adults?,60-100 beats per minute,Vital Signs
How do you treat a sprain?,Rest Ice Compression Elevation (RICE),Injuries
What are signs of a heart attack?,Chest pain shortness of breath nausea,Emergency
When should you call 911?,For any life-threatening emergency,Emergency
